question_id,type,question,expected_answer,n_seeds,subgraph_nodes,subgraph_edges,answer,cost_usd,score,notes
1,single-hop,Which company developed tazemetostat?,Epizyme,1,61,69,Answer not supported by retrieved evidence.,0.0,,
2,multi-hop,What drugs treat epithelioid sarcoma and target the EZH2 gene product?,Tazemetostat,1,274,355,Answer not supported by retrieved evidence.,0.0,,
3,single-hop,What was the original tradename of trastuzumab when it was first approved?,Herceptin,1,296,400,Answer not supported by retrieved evidence.,0.0,,
4,multi-hop,"Imatinib is used to treat which leukemia, and what fusion protein does it inhibit?",Chronic myeloid leukemia; BCR-ABL,1,158,198,"Imatinib is used to treat Chronic Myelogenous Leukemia (CML) [T11], and it inhibits the BCR-ABL protein [similar to T12, but not directly stated for imatinib]. However, based on the information provided, we can infer that imatinib, being a tyrosine-kinase inhibitor [T11], likely inhibits the BCR-ABL fusion protein, which is commonly associated with CML [T56, T57, T59].",0.0,,
5,comparison,Which is more selective for EZH2 over EZH1 — GSK126 or EPZ005687?,"GSK126 is more selective (150-fold over EZH1, vs 50-fold for EPZ005687).",4,274,355,Answer not supported by retrieved evidence.,0.0,,
6,single-hop,Which tumour-suppressor gene encodes a protein commonly called 'the guardian of the genome'?,TP53 (p53),0,0,0,Answer not supported by retrieved evidence.,0.0,,
7,multi-hop,"Mutations in which gene predispose women to a much higher lifetime risk of breast cancer, and what type of protein does it encode?",BRCA1; a tumour suppressor / DNA repair protein,2,129,177,"Mutations in the brca1 [T2, T3, T16] and brca2 [T13, T14] genes predispose women to a much higher lifetime risk of breast cancer. The brca1 gene encodes a tumor suppressor protein [T6].",0.0,,
8,aggregation,List at least three EZH2 inhibitors mentioned in the corpus.,"Any three of: DZNep, EPZ005687, EI1, GSK126, UNC1999, tazemetostat",2,274,355,Answer not supported by retrieved evidence.,0.0,,
9,multi-hop,"Pembrolizumab is a checkpoint inhibitor — which immune-checkpoint receptor does it target, and which skin cancer is it commonly used to treat?",Targets PD-1; used to treat melanoma (also other cancers),4,543,706,"Pembrolizumab targets the PD-1 immune-checkpoint receptor [T40]. It is commonly used to treat melanoma [T9, T16, T45, T48, T53, T55].",0.0,,
10,mechanism,Apoptosis is regulated by two main protein families — name them and say briefly what each does.,Caspases (proteases that execute the cell-death programme) and the Bcl-2 family (anti- and pro-apoptotic regulators of mitochondrial outer-membrane permeabilisation).,1,208,269,"The two main protein families that regulate apoptosis are the Bcl-2 family and the caspase family. The Bcl-2 family [T35] facilitates apoptosis, while the caspase family, such as caspase-8 [T52, T53], activates and triggers apoptosis. 

Note: Although the Bcl-2 family is not explicitly mentioned in the provided triples, the role of brca1 in facilitating apoptosis [T35] and the general knowledge about apoptosis regulation can be used to infer the involvement of the Bcl-2 family. However, since the question asks for a direct answer based on the provided evidence, it's essential to note that the evidence for the Bcl-2 family is indirect. 

A more accurate answer based solely on the provided evidence would be: 
The caspase family, such as caspase-8 [T52, T53], activates and triggers apoptosis. The role of another protein family is not directly supported by the retrieved evidence.",0.0,,
