question_id,type,question,expected_answer,n_seeds,subgraph_nodes,subgraph_edges,answer,cost_usd,score,notes
1,single-hop,Which company developed tazemetostat?,Epizyme,1,82,96,"Epizyme [S12,P12,O12].",0.0,,
2,multi-hop,What drugs treat epithelioid sarcoma and target the EZH2 gene product?,Tazemetostat,2,153,201,"Tazemetostat treats epithelioid sarcoma [S21,S22] and inhibits EZH2 [S18].",0.0,,
3,single-hop,What was the original tradename of trastuzumab when it was first approved?,Herceptin,0,0,0,Answer not supported by retrieved evidence.,0.0,,
4,multi-hop,"Imatinib is used to treat which leukemia, and what fusion protein does it inhibit?",Chronic myeloid leukemia; BCR-ABL,0,0,0,Answer not supported by retrieved evidence.,0.0,,
5,comparison,Which is more selective for EZH2 over EZH1 — GSK126 or EPZ005687?,"GSK126 is more selective (150-fold over EZH1, vs 50-fold for EPZ005687).",4,137,184,Answer not supported by retrieved evidence.,0.0,,
6,single-hop,Which tumour-suppressor gene encodes a protein commonly called 'the guardian of the genome'?,TP53 (p53),1,102,141,"p53 [T36,T35].",0.0,,
7,multi-hop,"Mutations in which gene predispose women to a much higher lifetime risk of breast cancer, and what type of protein does it encode?",BRCA1; a tumour suppressor / DNA repair protein,2,102,157,"Mutations in **BRCA1** predispose women to a much higher lifetime risk of breast cancer [S:brca mutation, P:damages, O:brca1; S:brca mutation, P:increases_risk_of, O:breast cancer; S:brca1, P:mutated_in, O:breast cancer]. BRCA1 encodes a **tumor suppressor** protein (also classified as a caretaker gene) [S:brca1, P:is_a, O:tumor suppressor gene; S:brca1, P:is_a, O:caretaker gene].",0.0,,
8,aggregation,List at least three EZH2 inhibitors mentioned in the corpus.,"Any three of: DZNep, EPZ005687, EI1, GSK126, UNC1999, tazemetostat",1,136,181,"Three EZH2 inhibitors mentioned: UNC1999 [T1], tazemetostat [T15], and 3-deazaneplanocin A [T50].",0.0,,
9,multi-hop,"Pembrolizumab is a checkpoint inhibitor — which immune-checkpoint receptor does it target, and which skin cancer is it commonly used to treat?",Targets PD-1; used to treat melanoma (also other cancers),3,94,138,Answer not supported by retrieved evidence.,0.0,,
10,mechanism,Apoptosis is regulated by two main protein families — name them and say briefly what each does.,Caspases (proteases that execute the cell-death programme) and the Bcl-2 family (anti- and pro-apoptotic regulators of mitochondrial outer-membrane permeabilisation).,1,338,472,Answer not supported by retrieved evidence.,0.0,,
