chunk_id,source_article,subject,subject_type,predicate,object,object_type,evidence_span
0,Breast cancer,Breast cancer,disease,develops_from,breast tissue,tissue,Breast cancer is a cancer that develops from breast tissue.
0,Breast cancer,Breast cancer,disease,has_sign,lump in the breast,symptom,Signs of breast cancer may include: a lump in the breast...
0,Breast cancer,Breast cancer,disease,has_sign,change in breast shape,symptom,"Signs of breast cancer may include: a lump in the breast, a change in breast shape..."
0,Breast cancer,Breast cancer,disease,has_sign,dimpling of the skin,symptom,Signs of breast cancer may include: ... dimpling of the skin...
0,Breast cancer,Breast cancer,disease,has_sign,fluid coming from the nipple,symptom,Signs of breast cancer may include: ... fluid coming from the nipple...
0,Breast cancer,Breast cancer,disease,has_sign,newly inverted nipple,symptom,Signs of breast cancer may include: ... a newly inverted nipple...
0,Breast cancer,Breast cancer,disease,has_sign,red or scaly patch of skin,symptom,Signs of breast cancer may include: ... a red or scaly patch of skin.
0,Breast cancer,Breast cancer,disease,has_sign,bone pain,symptom,"In those with distant spread of the disease, there may be bone pain..."
0,Breast cancer,Breast cancer,disease,has_sign,swollen lymph nodes,symptom,"In those with distant spread of the disease, there may be ... swollen lymph nodes..."
0,Breast cancer,Breast cancer,disease,has_sign,shortness of breath,symptom,"In those with distant spread of the disease, there may be ... shortness of breath..."
0,Breast cancer,Breast cancer,disease,has_sign,yellow skin,symptom,"In those with distant spread of the disease, there may be ... yellow skin."
0,Breast cancer,Obesity,risk_factor,risk_factor_for,Breast cancer,disease,Risk factors for developing breast cancer include obesity...
0,Breast cancer,Lack of physical exercise,risk_factor,risk_factor_for,Breast cancer,disease,Risk factors for developing breast cancer include ... a lack of physical exercise...
0,Breast cancer,Alcohol consumption,risk_factor,risk_factor_for,Breast cancer,disease,Risk factors for developing breast cancer include ... alcohol consumption...
0,Breast cancer,Ionizing radiation,risk_factor,risk_factor_for,Breast cancer,disease,Risk factors for developing breast cancer include ... ionizing radiation...
1,Breast cancer,Breast cancer,disease,has symptom,New lump in the breast,symptom,"For those who do have symptoms, a new lump in the breast is most common."
1,Breast cancer,Breast cancer,disease,has symptom,Skin thickening (peau d'orange),symptom,Other symptoms include skin thickening known as peau d'orange swelling or pain in the breast...
1,Breast cancer,Breast cancer,disease,has symptom,"Breast skin dimpling, thickening, redness, or dryness",symptom,"Other symptoms include... dimpling, thickening, redness, or dryness of the breast skin..."
1,Breast cancer,Breast cancer,disease,has symptom,Nipple pain or inversion,symptom,"Other symptoms include... pain, or inversion of the nipple."
1,Breast cancer,Breast cancer,disease,has symptom,Unusual breast discharge,symptom,Some may experience unusual discharge from the breasts...
1,Breast cancer,Breast cancer,disease,has symptom,Lymph node swelling under arms or collar bone,symptom,Some may experience... swelling of the lymph nodes under the arms or along the collar bone.
1,Breast cancer,Inflammatory breast cancer,disease,causes symptom,Substantial breast swelling and redness,symptom,Inflammatory breast cancer... causing the breast to substantially swell and redden...
1,Breast cancer,Paget's disease of the breast,disease,causes symptom,"Eczema-like red, scaly irritation on nipple and areola",symptom,"Paget's disease of the breast, with eczema-like red, scaly irritation on the nipple and areola."
1,Breast cancer,Breast cancer,disease,metastasizes to,Bones,body_part,Advanced tumors can spread... most commonly to the bones...
1,Breast cancer,Bone metastases,disease,causes symptom,"Swelling, progressive bone pain, bone weakening",symptom,"Bone metastases can cause swelling, progressive bone pain, and weakening of the bones..."
1,Breast cancer,Breast cancer,disease,metastasizes to,Liver,body_part,"Liver metastases can cause abdominal pain, nausea, vomiting..."
1,Breast cancer,Liver metastases,disease,causes symptom,"Abdominal pain, nausea, vomiting, rash, itchy skin, jaundice",symptom,"Liver metastases can cause abdominal pain, nausea, vomiting, and skin problems..."
1,Breast cancer,Breast cancer,disease,metastasizes to,Lungs,body_part,"Lung metastases experience chest pain, shortness of breath..."
1,Breast cancer,Lung metastases,disease,causes symptom,"Chest pain, shortness of breath, regular coughing",symptom,"Those with lung metastases experience chest pain, shortness of breath..."
1,Breast cancer,Breast cancer,disease,metastasizes to,Brain,body_part,"Metastases in the brain can cause persistent headache, seizures..."
1,Breast cancer,Brain metastases,disease,causes symptom,"Persistent headache, seizures, nausea, vomiting, speech/vision/memory/behavior disruptions",symptom,"Metastases in the brain can cause persistent headache, seizures, nausea, vomiting..."
4,Breast cancer,Breast Cancer,disease,classified_by,grading system,other,"Breast cancers are classified by several grading systems, each of which assesses a tumor characteristic that impacts a person's prognosis."
4,Breast cancer,Ductal Carcinoma,disease,derived_from,mammary ducts,other,Most breast cancers (85%) are ductal carcinoma – derived from the lining of the mammary ducts.
4,Breast cancer,Lobular Carcinoma,disease,derived_from,mammary lobes,other,10% are lobular carcinoma – derived from the mammary lobes – or mixed ductal/lobular carcinoma.
4,Breast cancer,Carcinoma in Situ,disease,considered,precancerous,other,"This condition, called carcinoma in situ, is often considered 'precancerous' rather than a dangerous cancer itself."
4,Breast cancer,Ductal Carcinoma in Situ,disease,increases_risk_of,invasive breast cancer,disease,Those with ductal carcinoma in situ ... are at increased risk for developing true invasive breast cancer – around a third develop breast cancer within five years.
4,Breast cancer,Lobular Carcinoma in Situ,disease,increases_risk_of,breast cancer,disease,Those with lobular carcinoma in situ also have an increased risk of developing breast cancer – around 1% develop breast cancer each year.
4,Breast cancer,Breast Tumor,disease,graded_by,three features,other,"Breast tumors are graded on three features: the proportion of cancer cells that form tubules, the appearance of the cell nucleus, and how many cells are actively replicating."
4,Breast cancer,Estrogen Receptor,protein,tested_by,immunohistochemistry,other,"In addition to grading, tumor biopsy samples are now tested by immunohistochemistry to determine if the tissue contains the proteins estrogen receptor (ER), progesterone receptor (PR), or human epidermal growth factor receptor 2 (HER2)."
4,Breast cancer,Hormone Receptor-Positive Tumor,disease,treated_with,hormone therapy,drug,Tumors containing either ER or PR are called 'hormone receptor-positive' and can be treated with hormone therapies.
4,Breast cancer,HER2-Positive Tumor,disease,treated_with,HER2-targeted therapy,drug,Around 15 to 20% of tumors contain HER2; these can be treated with HER2-targeted therapies.
4,Breast cancer,Triple-Negative Tumor,disease,characterized_by,rapid growth,other,"The remainder that do not contain ER, PR, or HER2 are called 'triple-negative' tumors, and tend to grow more quickly than other breast cancer types."
7,Breast cancer,capecitabine,drug,treats,metastatic breast cancer,disease,"Those with metastatic disease can receive further chemotherapy, typically starting with capecitabine, an anthracycline, or a taxane."
7,Breast cancer,anthracycline,drug,treats,metastatic breast cancer,disease,"Those with metastatic disease can receive further chemotherapy, typically starting with capecitabine, an anthracycline, or a taxane."
7,Breast cancer,taxane,drug,treats,metastatic breast cancer,disease,"Those with metastatic disease can receive further chemotherapy, typically starting with capecitabine, an anthracycline, or a taxane."
7,Breast cancer,gemcitabine,drug,treats,metastatic breast cancer,disease,"In addition to the chemotherapeutic drugs used for localized cancer, gemcitabine, vinorelbine, etoposide, and epothilones are sometimes effective."
7,Breast cancer,vinorelbine,drug,treats,metastatic breast cancer,disease,"In addition to the chemotherapeutic drugs used for localized cancer, gemcitabine, vinorelbine, etoposide, and epothilones are sometimes effective."
7,Breast cancer,etoposide,drug,treats,metastatic breast cancer,disease,"In addition to the chemotherapeutic drugs used for localized cancer, gemcitabine, vinorelbine, etoposide, and epothilones are sometimes effective."
7,Breast cancer,epothilones,drug,treats,metastatic breast cancer,disease,"In addition to the chemotherapeutic drugs used for localized cancer, gemcitabine, vinorelbine, etoposide, and epothilones are sometimes effective."
7,Breast cancer,denosumab,drug,treats,bone metastases,disease,Those with bone metastases benefit from regular infusion of the bone-strengthening agents denosumab and the bisphosphonates;
7,Breast cancer,bisphosphonates,drug,treats,bone metastases,disease,Those with bone metastases benefit from regular infusion of the bone-strengthening agents denosumab and the bisphosphonates;
7,Breast cancer,toremifene,drug,treats,ER-positive metastatic breast cancer,disease,"Therapy options include those used in localized cancer, plus toremifene and fulvestrant, often used in combination with CDK4/6 inhibitors"
7,Breast cancer,fulvestrant,drug,treats,ER-positive metastatic breast cancer,disease,"Therapy options include those used in localized cancer, plus toremifene and fulvestrant, often used in combination with CDK4/6 inhibitors"
7,Breast cancer,palbociclib,drug,used_in_combination_with,fulvestrant,drug,"often used in combination with CDK4/6 inhibitors (palbociclib, ribociclib, or abemaciclib)."
7,Breast cancer,ribociclib,drug,used_in_combination_with,fulvestrant,drug,"often used in combination with CDK4/6 inhibitors (palbociclib, ribociclib, or abemaciclib)."
7,Breast cancer,abemaciclib,drug,used_in_combination_with,fulvestrant,drug,"often used in combination with CDK4/6 inhibitors (palbociclib, ribociclib, or abemaciclib)."
7,Breast cancer,everolimus,drug,treats,ER-positive metastatic breast cancer,disease,"Adding an mTOR inhibitor, everolimus, can further slow the tumors' progression."
7,Breast cancer,trastuzumab,drug,treats,HER2-positive metastatic breast cancer,disease,"Those with HER2-positive metastatic disease can benefit from continued use of trastuzumab, alone, in combination with pertuzumab, or in combination with chemotherapy."
9,Breast cancer,United States,organisation,has_survival_rate,92%,other,"In the United States, UK, South Korea, Japan and Australia, more than 90% of women survive breast cancer for at least five years from diagnosis."
